Target,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Diabetes,Logistic Regression,0.8396107406739953,0.36952380952380953,0.6298701298701299,0.4657863145258103,0.859042336135383
Diabetes,Random Forest (Tuned),0.8174445846098396,0.3219730941704036,0.5827922077922078,0.414789139225881,0.8318391774452996
Diabetes,XGBoost (Tuned),0.8433952063434853,0.332892998678996,0.4090909090909091,0.36707938820101965,0.8183595241166699
Diabetes,Stacking Ensemble,0.8302396828257343,0.3220524017467249,0.4788961038961039,0.38511749347258484,0.7705352371123707
Hypertension,Logistic Regression,0.7557687914096413,0.6309859154929578,0.826060233558697,0.7154644663295182,0.8390125719394312
Hypertension,Random Forest (Tuned),0.7569111263422436,0.6511003757380569,0.7455439459127228,0.6951289398280802,0.8261580153098285
Hypertension,XGBoost (Tuned),0.75508339045008,0.64022233451238,0.7787338660110633,0.7027176927343317,0.8293348605911606
Hypertension,Stacking Ensemble,0.7619374000456934,0.6566684520621318,0.7535341118623233,0.7017744705208929,0.8315907694026932
Heart_Disease,Logistic Regression,0.8207762557077626,0.3362162162162162,0.6452282157676349,0.44207533759772566,0.8303566676388998
Heart_Disease,Random Forest (Tuned),0.8340182648401826,0.3333333333333333,0.508298755186722,0.4026294165981923,0.7728109318748416
Heart_Disease,XGBoost (Tuned),0.8305936073059361,0.3076923076923077,0.4315352697095436,0.3592400690846287,0.7663202110242724
Heart_Disease,Stacking Ensemble,0.8399543378995433,0.32137030995106036,0.4087136929460581,0.3598173515981735,0.735166347674837
